year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1986,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Ralph ""Judge Buster"" Forbes","","TRUE",52,695487,"20171011"
2016,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Conner Eldridge","democrat","FALSE",400602,1107522,"20171011"
2002,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Mark Pryor","democrat","FALSE",433386,804121,"20171011"
2004,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Gene Mason","","TRUE",128,1039349,"20171011"
2014,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Mark H. Swaney","green","FALSE",16797,847505,"20171011"
1990,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","David H. Pryor","democrat","FALSE",493910,494735,"20171011"
2008,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Rebekah Kennedy","green","FALSE",207076,1011754,"20171011"
2010,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","John Laney Gray III","green","FALSE",14430,779957,"20171011"
1990,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Betty White","","TRUE",825,494735,"20171011"
2014,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Nathan LaFrance","libertarian","FALSE",17210,847505,"20171011"
1980,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Dale Bumpers","democrat","FALSE",477905,808812,"20171011"
2004,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Blanche L. Lincoln","democrat","FALSE",580973,1039349,"20171011"
1980,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Bill Clark","republican","FALSE",330576,808812,"20171011"
1998,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Blanche Lambert Lincoln","democrat","FALSE",385878,700831,"20171011"
2010,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Stephan ""Troublemaker"" Hercher","","TRUE",143,779957,"20171011"
2010,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","","","TRUE",376,779957,"20171011"
2014,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","","","TRUE",505,847505,"20171011"
2016,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Frank Gilbert","libertarian","FALSE",43866,1107522,"20171011"
1978,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Tom Kelly","republican","FALSE",84308,517138,"20171011"
1984,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Ed Bethune","republican","FALSE",373615,875956,"20171011"
2004,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Jim Holt","republican","FALSE",458036,1039349,"20171011"
2010,"Arkansas","AR","05",71,42,"US Senate","Statewide","gen","FALSE","Blanche L. Lincoln","democrat","FALSE",288156,779957,"20171011"
1980,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","","","TRUE",13,874238,"20171011"
1976,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Sam Steiger","republican","FALSE",321236,741210,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Anthony Camboni","none","TRUE",45,2530730,"20171011"
1982,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Dennis DeConcini","","FALSE",411970,723885,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Ann Kirkpatrick","democrat","FALSE",1031245,2530730,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Jerry Joslyn","green","FALSE",24603,1708484,"20171011"
2012,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Marc Victor","libertarian","FALSE",102109,2243422,"20171011"
1982,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","","","TRUE",66,723885,"20171011"
2004,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Ernest Hancock","libertarian","FALSE",51798,1961677,"20171011"
2012,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Jeff Flake","republican","FALSE",1104457,2243422,"20171011"
2004,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Stuart Starky","democrat","FALSE",404507,1961677,"20171011"
1986,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","David Zilly","","TRUE",18,862921,"20171011"
1980,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Josefina Otero","socialist workers","FALSE",3266,874238,"20171011"
1988,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Ed Finkelstein","new alliance","FALSE",5195,1164539,"20171011"
1998,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","","","TRUE",187,1013280,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Santos Chavez","none","TRUE",4,2530730,"20171011"
1976,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Wm. Mathews Feighan","independent","FALSE",1565,741210,"20171011"
1998,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Ed Ranger","democrat","FALSE",275224,1013280,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Pat Quinn","independent","TRUE",694,2530730,"20171011"
1988,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Rick Tompkins","libertarian","FALSE",20849,1164539,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","John McCain","republican","FALSE",1005615,1708484,"20171011"
1992,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Claire Sargent","democrat","FALSE",436321,1382051,"20171011"
2006,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Jim Pederson","democrat","FALSE",664141,1526782,"20171011"
1994,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","","","TRUE",58,1119060,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Leonard Clark","independent","TRUE",83,2530730,"20171011"
1988,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","","","TRUE",32,1164539,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Sydney Dudikoff","republican","TRUE",494,2530730,"20171011"
2000,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","William Toel","independent","FALSE",109230,1397076,"20171011"
1998,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","John McCain","republican","FALSE",696577,1013280,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Ray J. Caplette","","TRUE",7,1708484,"20171011"
1998,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Bob Park","reform","FALSE",18288,1013280,"20171011"
1992,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Evan Mecham","independent","FALSE",145361,1382051,"20171011"
1986,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Robert B. Winn","","TRUE",28,862921,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Sheila Bilyeu","democrat","TRUE",34,2530730,"20171011"
2012,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Steven Watts","independent","TRUE",290,2243422,"20171011"
2012,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Don Manspeaker","independent","TRUE",24,2243422,"20171011"
2000,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Vance Hansen","green","FALSE",108926,1397076,"20171011"
1980,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Barry Goldwater","republican","FALSE",432371,874238,"20171011"
1986,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Richard Kimball","democrat","FALSE",340965,862921,"20171011"
1992,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","John McCain","republican","FALSE",771395,1382051,"20171011"
1976,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Dennis DeConcini","democrat","FALSE",400334,741210,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Santos Chavez","","TRUE",39,1708484,"20171011"
2004,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","John McCain","republican","FALSE",1505372,1961677,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Sydney Dudikoff","","TRUE",14,1708484,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Ian Gilyeat","","TRUE",5938,1708484,"20171011"
1976,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Allan Norwitz","libertarian","FALSE",7310,741210,"20171011"
