year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1976,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Frank Girard","socialist labor","FALSE",2554,3490412,"20171011"
2006,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","W. Dennis FitzSimons","u.s. taxpayers","FALSE",18341,3780142,"20171011"
2008,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Harley G. Mikkelson","green","FALSE",43440,4848620,"20171011"
2008,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Carl Levin","democrat","FALSE",3038386,4848620,"20171011"
1988,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Dick M. Jacobs","libertarian","FALSE",27116,3505985,"20171011"
1984,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Samuel L. Webb","communist","FALSE",1196,3700938,"20171011"
2008,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Doug Dern","natural law","FALSE",18550,4848620,"20171011"
2008,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Scotty Boman","libertarian","FALSE",76347,4848620,"20171011"
1988,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Jim Dunn","republican","FALSE",1348219,3505985,"20171011"
1976,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Paula L. Reimers","socialist workers","FALSE",3399,3490412,"20171011"
1988,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Sally Bier","workers against concessions","FALSE",8908,3505985,"20171011"
2014,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Terri Lynn Land","republican","FALSE",1290199,3121771,"20171011"
2002,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Carl Levin","democrat","FALSE",1896614,3129287,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Harley Mikkelson","green","FALSE",27890,4652918,"20171011"
2006,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Michael Bouchard","republican","FALSE",1559597,3780142,"20171011"
1990,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","","","TRUE",250,2560494,"20171011"
2000,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Mark A. Forton","reform","FALSE",26274,4167685,"20171011"
2002,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Andrew Raczkowski","republican","FALSE",1185545,3129287,"20171011"
2014,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Jim Fulner","libertarian","FALSE",62897,3121771,"20171011"
2000,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Debbie Stabenow","democrat","FALSE",2061952,4167685,"20171011"
1978,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Robert P. Griffin","republican","FALSE",1362165,2846630,"20171011"
2014,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Gary C. Peters","democrat","FALSE",1704936,3121771,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Richard A. Matkin","u.s. taxpayers","FALSE",26038,4652918,"20171011"
1976,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Peter A. Signorelli","u.s. labor","FALSE",2218,3490412,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","John D. Litle","natural law","FALSE",11229,4652918,"20171011"
2002,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Doug Dern","natural law","FALSE",10366,3129287,"20171011"
2002,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Eric Borregard","green","FALSE",23931,3129287,"20171011"
1984,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","William Roundtree","workers world","FALSE",2279,3700938,"20171011"
1978,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","scatter","","FALSE",272,2846630,"20171011"
2000,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Spencer Abraham","republican","FALSE",1994693,4167685,"20171011"
1988,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Donald W. Riegle, Jr.","democrat","FALSE",2116865,3505985,"20171011"
2000,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","John Mangopoulos","u.s. taxpayers","FALSE",11628,4167685,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Pete Hoekstra","republican","FALSE",1767386,4652918,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Amitabh Ghosh","","TRUE",48,4652918,"20171011"
2000,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Matthew R. Abel","green","FALSE",37542,4167685,"20171011"
1990,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Bill Schuette","republican","FALSE",1055695,2560494,"20171011"
2014,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Chris Wahmhoff","green","FALSE",26137,3121771,"20171011"
1994,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","scatter","","FALSE",506,3043385,"20171011"
2014,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Robert Boensch","","TRUE",6,3121771,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Katherine Houston","","TRUE",4,4652918,"20171011"
1982,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Bette Erwin","libertarian","FALSE",19131,2994334,"20171011"
2008,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Michael N. Nikitin","u.s. taxpayers","FALSE",30827,4848620,"20171011"
1994,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Bobb Carr","democrat","FALSE",1300960,3043385,"20171011"
1996,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Ronna Romney","republican","FALSE",1500106,3762575,"20171011"
2012,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Scotty Boman","libertarian","FALSE",84480,4652918,"20171011"
1996,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Martin P. McLaughlin","socialist equality","FALSE",5975,3762575,"20171011"
1984,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Helen Meyers","socialist workers","FALSE",2686,3700938,"20171011"
1984,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Fred Mazelis","workers league","FALSE",818,3700938,"20171011"
1984,"Michigan","MI","26",34,23,"US Senate","statewide","gen","FALSE","Jack Lousma","republican","FALSE",1745302,3700938,"20171011"
1982,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Bill Onasch","socialist workers","FALSE",5897,1804675,"20171011"
1976,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Robin E. Miller","libertarian","FALSE",5476,1912020,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Stephen Johnson","natural law","FALSE",5054,1772929,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","TRUE","Bob Short","democrat","FALSE",538675,1558376,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Ed McGaa","","TRUE",7,2254639,"20171011"
2006,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Ben Powers","constitution","FALSE",5408,2202772,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","TRUE","Paul Helm","american","FALSE",45402,1558376,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Brian John Coyle","public interest independent","FALSE",8083,1580622,"20171011"
1984,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Other","","FALSE",240,2066143,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",415,2093953,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Candice E. Sjostrom","grassroots","FALSE",15920,1772929,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","TRUE","David Durenberger","republican","FALSE",957908,1558376,"20171011"
1984,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Joan Anderson Growe","democrat","FALSE",852844,2066143,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Tim Davis","grassroots","FALSE",14139,2182905,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Anthony Keith Price","","TRUE",12,2887646,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rod Grams","republican","FALSE",869653,1772929,"20171011"
2012,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",2582,2843207,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",2614,1772929,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Norm Coleman","republican","FALSE",1212317,2887646,"20171011"
2006,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Mark R. Kennedy","republican","FALSE",835653,2202772,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",4,2419520,"20171011"
1976,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Bill Peterson","socialist workers","FALSE",9380,1912020,"20171011"
1976,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Matt Savola","communist","FALSE",2214,1912020,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Jean T. Brust","workers","FALSE",3891,1580622,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Wendell Anderson","democrat","FALSE",638375,1580622,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Polly Mann","progressive issues","FALSE",44474,2093953,"20171011"
1982,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Mark Dayton","democrat","FALSE",840401,1804675,"20171011"
1982,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Jeffrey M. Miller","new union","FALSE",3300,1804675,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Wendy Lyons","socialist workers","FALSE",3105,2093953,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","David Daniels","grassroots","FALSE",21447,2419520,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Thomas A. Fiske","socialist workers","FALSE",1554,2182905,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Ann Wynia","democratic-farmer-labor","FALSE",781860,1772929,"20171011"
2014,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Heather Johnson","libertarian","FALSE",29685,1981528,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Norm Coleman","republican","FALSE",1116697,2254639,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Sal Carlone","american","FALSE",23261,1580622,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Howard B. Hanson","resource","FALSE",4381,2182905,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Roy Ezra Carlton","libertarian","FALSE",5428,2182905,"20171011"
1976,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Jerry Brekke","republican","FALSE",478602,1912020,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rudy Boschwitz","republican","FALSE",901194,2182905,"20171011"
1990,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rudy Boschwitz","republican","FALSE",864375,1808045,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Michelle Harbeck","","TRUE",3,2254639,"20171011"
2014,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Steve Carlson","independence","FALSE",47530,1981528,"20171011"
2012,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Tim Davis","grassroots party","FALSE",30531,2843207,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",2340,2887646,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Dean Barkley","independence","FALSE",437505,2887646,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",1790,2254639,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Steve Johnson","natural law","FALSE",4321,2182905,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Charles Aldrich","libertarian","FALSE",13923,2887646,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Arlen Overvig","libertarian","FALSE",4039,2093953,"20171011"
2012,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Michael Cavlan","minnesota open progressives","FALSE",13986,2843207,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Leonard Richards","libertarian","FALSE",2992,1580622,"20171011"
2012,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Kurt Bills","republican","FALSE",867974,2843207,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Dave Durenberger","republican","FALSE",1176210,2093953,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Hubert H. ""Skip"" Humphrey III","democratic-farmer-labor","FALSE",856694,2093953,"20171011"
2006,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",954,2202772,"20171011"
1990,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Paul David Wellstone","democrat","FALSE",911999,1808045,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Dean M. Barkley","independence","FALSE",95400,1772929,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Mark Dayton","democratic-farmer-labor","FALSE",1181553,2419520,"20171011"
1976,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Paul Helm","american","FALSE",125612,1912020,"20171011"
1990,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",1851,1808045,"20171011"
1984,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Richard Putman","libertarian","FALSE",4653,2066143,"20171011"
2014,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Mike McFadden","republican","FALSE",850227,1981528,"20171011"
1984,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Eleanor Garcia","socialist workers","FALSE",5351,2066143,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","James (Jim) Gibson","independence","FALSE",140583,2419520,"20171011"
2006,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Michael James Cavlan","green","FALSE",10714,2202772,"20171011"
2012,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Amy Klobuchar","democrat","FALSE",1854595,2843207,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Paul Wellstone","democrat","FALSE",11381,2254639,"20171011"
1994,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Marea Himelgrin","socialist workers","FALSE",2428,1772929,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Al Franken","democrat","FALSE",1212629,2887646,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Jim Moore","independence","FALSE",45139,2254639,"20171011"
1984,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Jeffrey M. Miller","new union","FALSE",3129,2066143,"20171011"
2014,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",881,1981528,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","David Swan","constitution","FALSE",8915,2419520,"20171011"
1984,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rudy Boschwitz","republican","FALSE",1199926,2066143,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rebecca Ellis","socialist workers","FALSE",12956,2419520,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","James Niemackl","constitution","FALSE",8907,2887646,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Ray Tricomo","green","FALSE",10119,2254639,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Dean Barkley","reform","FALSE",152328,2182905,"20171011"
2014,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Al Franken","democrat","FALSE",1053205,1981528,"20171011"
1990,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Russell B. Bentley","grassroots","FALSE",29820,1808045,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","TRUE","Frederick Hewitt","libertarian","FALSE",4116,1558376,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Dick Franson","","TRUE",3,2254639,"20171011"
1976,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Hubert H. Humphrey","democrat","FALSE",1290736,1912020,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",1130,2182905,"20171011"
1982,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Dave Durenberger","republican","FALSE",949207,1804675,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","William Peterson","socialist workers","FALSE",9856,1580622,"20171011"
1988,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Derrick P. Grimmer","grassroots","FALSE",9016,2093953,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","TRUE","","","TRUE",878,1558376,"20171011"
2006,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Amy Klobuchar","democratic-farmer-labor","FALSE",1278849,2202772,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","TRUE","Christine Frank","socialist","FALSE",11397,1558376,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rod Grams","republican","FALSE",1047474,2419520,"20171011"
2000,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Erik D. Pakieser","libertarian","FALSE",6588,2419520,"20171011"
2006,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Robert Fitzgerald","independence","FALSE",71194,2202772,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","","","TRUE",72,1580622,"20171011"
2012,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Stephen Williams","independence","FALSE",73539,2843207,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Walter F. Mondale","democrat","FALSE",1067246,2254639,"20171011"
1982,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Fred G. Hewitt","libertarian","FALSE",5870,1804675,"20171011"
2008,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Michael Cavlan","","TRUE",13,2887646,"20171011"
1996,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Paul Wellstone","democrat","FALSE",1098430,2182905,"20171011"
2002,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Miro Drago","constitution","FALSE",2254,2254639,"20171011"
1978,"Minnesota","MN","27",41,33,"US Senate","statewide","gen","FALSE","Rudolph E. Boschwitz","republican","FALSE",894092,1580622,"20171011"
2010,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Mark S. Memoly","","TRUE",1,1943899,"20171011"
2004,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Nancy Farmer","democrat","FALSE",1158261,2706402,"20171011"
1988,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","John C. Danforth","republican","FALSE",1407416,2078875,"20171011"
1992,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Christopher S. Bond","republican","FALSE",1221901,2354916,"20171011"
2010,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Robin Carnahan","democrat","FALSE",789736,1943899,"20171011"
1986,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Betty Shepherd","independent","FALSE",91,1477327,"20171011"
2000,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Hugh Foley","reform","FALSE",4166,2361586,"20171011"
1998,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Tamara A. Millay","libertarian","FALSE",31876,1576857,"20171011"
2000,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Evaline Taylor","green","FALSE",10612,2361586,"20171011"
2016,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Thomas Morgan","","TRUE",4,2802641,"20171011"
2004,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Don Griffin","constitution","FALSE",10404,2706402,"20171011"
2002,"Missouri","MO","29",43,34,"US Senate","statewide","gen","TRUE","Jean Carnahan","democrat","FALSE",913778,1877620,"20171011"
2006,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Frank Gilmour","libertarian","FALSE",47792,2128459,"20171011"
2000,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Charles Dockins","natural law","FALSE",1933,2361586,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Charlie L. Bailey","","TRUE",4,2725793,"20171011"
1994,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Bill Johnson","libertarian","FALSE",81264,1775116,"20171011"
1998,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Jeremiah W. (Jay) Nixon","democrat","FALSE",690208,1576857,"20171011"
2004,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Christopher S. Bond","republican","FALSE",1518089,2706402,"20171011"
1980,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Gene McNary","republican","FALSE",985399,2066965,"20171011"
2006,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","","","TRUE",88,2128459,"20171011"
1994,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Alan Wheat","democrat","FALSE",633697,1775116,"20171011"
1982,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","","","TRUE",16,1543521,"20171011"
2016,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Jon Kelly","","TRUE",4,2802641,"20171011"
2010,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Frazier Glenn Miller, Jr.","","TRUE",7,1943899,"20171011"
2016,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Patrick Lee","","TRUE",53,2802641,"20171011"
2000,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","John Ashcroft","republican","FALSE",1142852,2361586,"20171011"
1998,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Curt Frazier","taxpayers","FALSE",15368,1576857,"20171011"
1988,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","John Guze","libertarian","FALSE",11410,2078875,"20171011"
1994,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","John Ashcroft","republican","FALSE",1060149,1775116,"20171011"
1982,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Harriett Woods","democrat","FALSE",758629,1543521,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Bernie Mowinski","","TRUE",5,2725793,"20171011"
2002,"Missouri","MO","29",43,34,"US Senate","statewide","gen","TRUE","Daniel (Digger) Romano","green","FALSE",10465,1877620,"20171011"
1994,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Cyrill Kolocotronis","independent","FALSE",1,1775116,"20171011"
1992,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Geri Rothman-Serot","democrat","FALSE",1057967,2354916,"20171011"
1992,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Jeanne F. Bojarski","libertarian","FALSE",75048,2354916,"20171011"
2010,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Charlie L. Bailey","","TRUE",3,1943899,"20171011"
2010,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Jerry Beck","constitution","FALSE",41309,1943899,"20171011"
1976,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","John C. Danforth","republican","FALSE",1090067,1914460,"20171011"
2006,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","James M. Talent","republican","FALSE",1006941,2128459,"20171011"
1994,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Jock peacock","independent","FALSE",5,1775116,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","William Dean","","TRUE",6,2725793,"20171011"
2000,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","","","TRUE",13,2361586,"20171011"
1980,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Thomas F. Eagleton","democrat","FALSE",1074859,2066965,"20171011"
2004,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","Kevin Tull","libertarian","FALSE",19648,2706402,"20171011"
1998,"Missouri","MO","29",43,34,"US Senate","Statewide","gen","FALSE","James F. Newport","reform","FALSE",8780,1576857,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","W. Todd Akin","republican","FALSE",1066159,2725793,"20171011"
2000,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Mel Carnahan","democrat","FALSE",1191812,2361586,"20171011"
1988,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Jeremiah W. (Jay) Nixon","democrat","FALSE",660045,2078875,"20171011"
2016,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Nathaniel ""Nate"" Malone","","TRUE",12,2802641,"20171011"
2002,"Missouri","MO","29",43,34,"US Senate","statewide","gen","TRUE","Jim Talent","republican","FALSE",935032,1877620,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Claire McCaskill","democrat","FALSE",1494125,2725793,"20171011"
2006,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Lydia Lewis","progressive","FALSE",18383,2128459,"20171011"
2016,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Roy Blunt","republican","FALSE",1378458,2802641,"20171011"
2016,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Johnathan McFarland","green","FALSE",30743,2802641,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Arnie C. ??A C ?? Dienoff","","TRUE",2,2725793,"20171011"
2012,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Bernard J. ??Spark?? Duraski","","TRUE",9,2725793,"20171011"
2006,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Claire McCaskill","democrat","FALSE",1055255,2128459,"20171011"
1986,"Missouri","MO","29",43,34,"US Senate","statewide","gen","FALSE","Christopher (Kit) Bond","republican","FALSE",777612,1477327,"20171011"
